alias,name,url,latitude,longitude,address1,address2,city,zip_code,state,phone
anise-pho-raleigh-4,Anise Pho,https://www.yelp.com/biz/anise-pho-raleigh-4?adjust_creative=QWil4J-UMmNJRdzdWiwCng&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QWil4J-UMmNJRdzdWiwCng,35.7836251,-78.6471448,222 Glenwood Ave,Ste 113,Raleigh,27603,NC,+19198034539
jacks-seafood-and-soul-food-restaurant-raleigh,Jack's Seafood & Soul Food Restaurant,https://www.yelp.com/biz/jacks-seafood-and-soul-food-restaurant-raleigh?adjust_creative=QWil4J-UMmNJRdzdWiwCng&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QWil4J-UMmNJRdzdWiwCng,35.7797355651855,-78.6163177490234,1516 New Bern Ave,,Raleigh,27610,NC,+19197551551
china-star-raleigh,China Star,https://www.yelp.com/biz/china-star-raleigh?adjust_creative=QWil4J-UMmNJRdzdWiwCng&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QWil4J-UMmNJRdzdWiwCng,35.72443,-78.54819,6109 Rock Quarry Rd,Ste 110,Raleigh,27610,NC,+19199774678
shake-shack-cary,Shake Shack,https://www.yelp.com/biz/shake-shack-cary?adjust_creative=QWil4J-UMmNJRdzdWiwCng&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QWil4J-UMmNJRdzdWiwCng,35.7396001866604,-78.7782829,310 Colonades Way,,Cary,27518,NC,
chubbys-tacos-raleigh,Chubby's Tacos,https://www.yelp.com/biz/chubbys-tacos-raleigh?adjust_creative=QWil4J-UMmNJRdzdWiwCng&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QWil4J-UMmNJRdzdWiwCng,35.8171918,-78.6938651,2444 Wycliff Rd,,Raleigh,27607,NC,+19197814480
13-tacos-and-taps-raleigh,13 Tacos & Taps,https://www.yelp.com/biz/13-tacos-and-taps-raleigh?adjust_creative=QWil4J-UMmNJRdzdWiwCng&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QWil4J-UMmNJRdzdWiwCng,35.9078384938597,-78.588276296571,10511 Shadowlawn Dr,,Raleigh,27614,NC,+19199007023
cava-raleigh-3,CAVA,https://www.yelp.com/biz/cava-raleigh-3?adjust_creative=QWil4J-UMmNJRdzdWiwCng&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QWil4J-UMmNJRdzdWiwCng,35.82181,-78.62223,1100 Mercantile Dr,Ste 100,Raleigh,27609,NC,+19192764591
transfer-co-food-hall-raleigh,Transfer Co. Food Hall,https://www.yelp.com/biz/transfer-co-food-hall-raleigh?adjust_creative=QWil4J-UMmNJRdzdWiwCng&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QWil4J-UMmNJRdzdWiwCng,35.7748799127717,-78.6320599168539,500 E Davie St,,Raleigh,27601,NC,+19842328122
gym-tacos-raleigh,Gym Tacos,https://www.yelp.com/biz/gym-tacos-raleigh?adjust_creative=QWil4J-UMmNJRdzdWiwCng&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QWil4J-UMmNJRdzdWiwCng,35.82098,-78.6286,220 E Six Forks Rd,,Raleigh,27609,NC,
mama-crows-burger-and-salad-shop-raleigh,Mama Crow's Burger & Salad Shop,https://www.yelp.com/biz/mama-crows-burger-and-salad-shop-raleigh?adjust_creative=QWil4J-UMmNJRdzdWiwCng&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QWil4J-UMmNJRdzdWiwCng,35.77496,-78.63216,500 E Davie St,,Raleigh,27601,NC,+19842328122
pdq-raleigh-raleigh,PDQ - Raleigh,https://www.yelp.com/biz/pdq-raleigh-raleigh?adjust_creative=QWil4J-UMmNJRdzdWiwCng&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QWil4J-UMmNJRdzdWiwCng,35.86884,-78.6214,6305 Falls Of Neuse Rd,,Raleigh,27615,NC,+19198031171
